iter	Logloss
0	0.6711331939
1	0.6523916839
2	0.635046501
3	0.6197875549
4	0.6063622085
5	0.5945155822
6	0.5837968142
7	0.5744208104
8	0.5660024026
9	0.5587118075
10	0.5522315097
11	0.5467343236
12	0.5411616976
13	0.536709709
14	0.5322630453
15	0.5282857325
16	0.5246024972
17	0.5216690821
18	0.5189506425
19	0.516654032
20	0.51422848
21	0.5125700093
22	0.510731442
23	0.5088132845
24	0.5072928664
25	0.5057883333
26	0.5045079903
27	0.5032682198
28	0.5021588853
29	0.5011293393
30	0.5002888178
31	0.4992678813
32	0.4985160798
33	0.4977383771
34	0.4970432361
35	0.4962812042
36	0.4958725171
37	0.4953191617
38	0.4947684064
39	0.4943545755
40	0.4939062845
41	0.4935246524
42	0.493090475
43	0.4927229692
44	0.4924189826
45	0.4921379549
46	0.4918194624
47	0.4915269708
48	0.4912037997
49	0.4909237148
50	0.4906314957
51	0.4903800881
52	0.490137568
53	0.4899262577
54	0.4897344814
55	0.4895697229
56	0.4893960738
57	0.4891851327
58	0.4889981754
59	0.4888672812
60	0.4886528706
61	0.4885196865
62	0.4883596286
63	0.4882109464
64	0.4880871812
65	0.4879712937
66	0.4878702118
67	0.4877338463
68	0.4876048681
69	0.4874920352
70	0.4874020185
71	0.4872847169
72	0.4872047161
73	0.4871037041
74	0.4869753843
75	0.4869096339
76	0.4868354109
77	0.4867431408
78	0.4866613921
79	0.4865704205
80	0.4864634245
81	0.4863598863
82	0.4862737135
83	0.486217217
84	0.4861229864
85	0.4860276547
86	0.4859549247
87	0.4858927914
88	0.485822014
89	0.4857678069
90	0.4857054569
91	0.4856190595
92	0.4855485647
93	0.4854647043
94	0.4853984114
95	0.4853484008
96	0.4852844344
97	0.4851813517
98	0.4851426838
99	0.4850902382
100	0.4850044552
101	0.4849541949
102	0.4848710031
103	0.4848168236
104	0.4847443045
105	0.4846777132
106	0.4846306247
107	0.4845938692
108	0.4845559796
109	0.4844859649
110	0.4844338481
111	0.484381961
112	0.4842948638
113	0.4842507354
114	0.4841728847
115	0.4841266539
116	0.4840819894
117	0.4840195938
118	0.4839669497
119	0.4838857002
120	0.4838313273
121	0.4837997702
122	0.4837244301
123	0.4836876064
124	0.4836524168
125	0.4836378304
126	0.4835906861
127	0.4835695087
128	0.4835058189
129	0.4834367088
130	0.4833826503
131	0.4833412119
132	0.4832859482
133	0.4832339848
134	0.4831532033
135	0.4831064352
136	0.483070909
137	0.4830289148
138	0.4829533217
139	0.4828807287
140	0.4828240872
141	0.4827983161
142	0.4827464451
143	0.482704493
144	0.4826482521
145	0.4826201625
146	0.4825712513
147	0.482470363
148	0.4824052884
149	0.4823638468
150	0.4823136023
151	0.4822813195
152	0.4822377082
153	0.482187249
154	0.4821241986
155	0.4820649485
156	0.4819860097
157	0.4819338263
158	0.4818997278
159	0.4818587959
160	0.4818138731
161	0.4817591929
162	0.4817248942
163	0.4816964477
164	0.4816517815
165	0.4816165749
166	0.4815841949
167	0.481541757
168	0.4815148171
169	0.4814611481
170	0.4814210945
171	0.4813336034
172	0.481283745
173	0.4812036957
174	0.4811827202
175	0.4811611261
176	0.4811331036
177	0.4810769098
178	0.4810133305
179	0.4809678159
180	0.48089361
181	0.4808453623
182	0.480808366
183	0.4807587036
184	0.4807229771
185	0.4806492596
186	0.4805994142
187	0.4805486705
188	0.4805059121
189	0.4804739841
190	0.4804268651
191	0.4803785226
192	0.4803365798
193	0.4803148735
194	0.480244921
195	0.4801691966
196	0.4801270377
197	0.4800996542
198	0.4800510959
199	0.4800072533
200	0.4799794449
201	0.4799362337
202	0.4798905216
203	0.479857465
204	0.4798116183
205	0.4797212333
206	0.4796546703
207	0.4795999463
208	0.4795623121
209	0.4795212922
210	0.4794680947
211	0.4793997359
212	0.4793355674
