iter	Passed	Remaining
0	181	180847
1	191	95621
2	200	66740
3	208	51991
4	216	43096
5	225	37307
6	233	33113
7	241	29965
8	249	27467
9	257	25444
10	266	23951
11	273	22534
12	281	21403
13	289	20400
14	298	19573
15	307	18881
16	314	18181
17	322	17588
18	330	17049
19	339	16650
20	347	16209
21	356	15850
22	364	15498
23	373	15203
24	383	14956
25	393	14734
26	402	14487
27	411	14294
28	422	14141
29	433	14008
30	444	13888
31	455	13770
32	466	13664
33	476	13539
34	486	13421
35	497	13312
36	504	13119
37	513	12991
38	523	12906
39	534	12831
40	545	12770
41	555	12672
42	568	12651
43	580	12621
44	591	12546
45	603	12524
46	616	12506
47	629	12490
48	642	12470
49	655	12445
50	667	12412
51	677	12358
52	689	12315
53	701	12281
54	713	12251
55	724	12220
56	737	12203
57	749	12178
58	762	12158
59	774	12130
60	786	12103
61	798	12081
62	810	12051
63	822	12026
64	834	12001
65	846	11981
66	858	11956
67	870	11934
68	883	11915
69	894	11884
70	905	11852
71	917	11827
72	929	11806
73	940	11766
74	952	11750
75	965	11743
76	977	11720
77	990	11709
78	1001	11679
79	1013	11657
80	1026	11642
81	1038	11621
82	1050	11604
83	1062	11584
84	1074	11565
85	1085	11540
86	1097	11512
87	1108	11486
88	1119	11462
89	1130	11431
90	1141	11405
91	1153	11384
92	1164	11355
93	1175	11331
94	1186	11304
95	1198	11281
96	1210	11266
97	1221	11246
98	1233	11226
99	1245	11211
100	1257	11192
101	1268	11171
102	1280	11154
103	1292	11135
104	1304	11117
105	1316	11099
106	1327	11077
107	1338	11056
108	1350	11040
109	1362	11023
110	1373	11003
111	1385	10984
112	1397	10966
113	1408	10948
114	1420	10929
115	1431	10910
116	1443	10891
117	1454	10874
118	1466	10854
119	1478	10839
120	1489	10823
121	1501	10804
122	1512	10786
123	1524	10771
124	1536	10752
125	1545	10721
126	1558	10714
127	1571	10702
128	1583	10692
129	1596	10684
130	1607	10663
131	1620	10653
132	1632	10641
133	1645	10633
134	1658	10625
135	1670	10609
136	1681	10594
137	1692	10574
138	1704	10557
139	1715	10537
140	1727	10524
141	1739	10507
142	1751	10495
143	1762	10474
144	1773	10457
145	1784	10439
146	1797	10429
147	1809	10414
148	1820	10397
149	1832	10386
150	1844	10372
151	1857	10360
152	1869	10348
153	1881	10337
154	1894	10325
155	1906	10315
156	1919	10303
157	1931	10291
158	1942	10276
159	1955	10268
160	1968	10256
161	1979	10238
162	1990	10221
163	2002	10206
164	2013	10191
165	2026	10179
166	2037	10165
167	2049	10150
168	2061	10135
169	2072	10119
170	2084	10106
171	2096	10094
172	2109	10082
173	2120	10068
174	2132	10051
175	2143	10035
176	2154	10017
177	2165	10001
178	2177	9988
179	2189	9972
180	2201	9962
181	2213	9946
182	2224	9929
183	2237	9921
184	2248	9906
185	2260	9891
186	2271	9874
187	2282	9859
188	2294	9845
189	2305	9829
190	2316	9813
191	2328	9797
192	2338	9780
193	2349	9762
194	2361	9749
195	2373	9735
196	2384	9720
197	2395	9704
198	2406	9688
199	2418	9672
200	2429	9656
201	2440	9642
202	2452	9628
203	2463	9614
204	2475	9599
205	2487	9586
206	2498	9572
207	2509	9556
208	2521	9541
209	2532	9526
210	2545	9518
211	2558	9510
212	2571	9500
213	2583	9490
214	2596	9480
215	2608	9468
216	2620	9457
217	2633	9446
218	2645	9434
219	2656	9417
220	2667	9402
221	2678	9387
222	2690	9375
223	2702	9362
224	2714	9350
225	2726	9336
226	2737	9323
227	2749	9311
228	2761	9297
229	2773	9284
230	2785	9271
231	2796	9257
232	2807	9242
233	2819	9229
234	2832	9221
235	2843	9205
236	2855	9192
237	2867	9180
238	2879	9168
239	2891	9156
240	2903	9144
241	2915	9133
242	2927	9120
243	2941	9112
244	2952	9099
245	2964	9086
246	2976	9075
247	2989	9065
248	3002	9055
249	3013	9041
250	3025	9029
251	3037	9016
252	3050	9006
253	3061	8992
254	3072	8976
255	3083	8960
256	3094	8945
257	3105	8931
258	3116	8917
259	3127	8902
260	3138	8886
261	3150	8874
262	3162	8861
263	3173	8847
264	3184	8832
265	3195	8818
266	3208	8808
267	3219	8793
268	3231	8780
269	3242	8767
270	3254	8754
271	3267	8745
272	3280	8734
273	3290	8719
274	3303	8708
275	3314	8695
276	3327	8684
277	3338	8671
278	3350	8658
279	3361	8643
280	3372	8630
281	3384	8616
282	3395	8602
283	3406	8589
284	3418	8576
285	3429	8562
286	3441	8548
287	3452	8535
288	3463	8520
289	3474	8507
290	3486	8493
291	3497	8479
292	3508	8466
293	3520	8453
294	3532	8443
295	3545	8432
296	3558	8422
297	3570	8411
298	3582	8399
299	3594	8387
300	3607	8376
301	3619	8364
302	3632	8354
303	3643	8341
304	3655	8329
305	3666	8316
306	3678	8304
307	3690	8291
308	3701	8277
309	3712	8263
310	3723	8249
311	3735	8237
312	3747	8225
313	3759	8212
314	3770	8199
315	3781	8185
316	3793	8173
317	3805	8160
318	3816	8147
319	3828	8136
320	3841	8126
321	3854	8115
322	3865	8101
323	3876	8089
324	3888	8076
325	3900	8064
326	3912	8051
327	3924	8040
328	3935	8025
329	3946	8011
330	3957	7999
331	3969	7986
332	3980	7973
333	3992	7960
334	4004	7948
335	4015	7936
336	4027	7923
337	4038	7909
338	4049	7896
339	4060	7882
340	4072	7869
341	4083	7856
342	4095	7843
343	4106	7831
344	4117	7818
345	4130	7806
346	4141	7792
347	4152	7779
348	4163	7766
349	4174	7753
350	4186	7740
351	4197	7727
352	4209	7716
353	4221	7703
354	4232	7690
355	4245	7680
356	4257	7668
357	4268	7655
358	4280	7642
359	4291	7630
360	4304	7618
361	4315	7606
362	4326	7592
363	4337	7579
364	4349	7566
365	4360	7553
366	4371	7540
367	4383	7527
368	4394	7515
369	4405	7501
370	4416	7488
371	4427	7475
372	4439	7462
373	4450	7449
374	4462	7438
375	4474	7425
376	4485	7412
377	4496	7399
378	4508	7387
379	4521	7376
380	4533	7365
381	4545	7353
382	4558	7343
383	4570	7331
384	4583	7321
385	4596	7310
386	4608	7300
387	4621	7290
388	4634	7278
389	4645	7266
390	4657	7253
391	4668	7241
392	4680	7229
393	4692	7216
394	4703	7204
395	4714	7191
396	4727	7180
397	4739	7168
398	4751	7156
399	4763	7145
400	4775	7133
401	4786	7120
402	4798	7108
403	4810	7097
404	4821	7083
405	4833	7071
406	4846	7061
407	4858	7049
408	4869	7036
409	4881	7024
410	4893	7012
411	4905	7000
412	4918	6990
413	4930	6978
414	4941	6965
415	4953	6954
416	4965	6942
417	4977	6929
418	4990	6919
419	5001	6907
420	5013	6894
421	5024	6881
422	5035	6869
423	5047	6856
424	5058	6843
425	5069	6831
426	5082	6819
427	5093	6807
428	5105	6795
429	5117	6783
430	5129	6771
431	5141	6760
432	5153	6748
433	5164	6735
434	5177	6724
435	5189	6712
436	5200	6699
437	5212	6687
438	5223	6674
439	5235	6663
440	5247	6651
441	5258	6638
442	5270	6626
443	5281	6613
444	5292	6601
445	5304	6588
446	5315	6576
447	5327	6564
448	5338	6551
449	5349	6538
450	5361	6525
451	5373	6514
452	5385	6502
453	5397	6491
454	5408	6478
455	5418	6464
456	5429	6451
457	5440	6438
458	5452	6426
459	5463	6413
460	5475	6401
461	5485	6388
462	5497	6375
463	5509	6364
464	5522	6354
465	5535	6343
466	5548	6332
467	5561	6322
468	5573	6310
469	5585	6298
470	5598	6287
471	5611	6277
472	5623	6265
473	5635	6253
474	5646	6240
475	5657	6228
476	5668	6215
477	5680	6203
478	5691	6190
479	5703	6178
480	5714	6166
481	5726	6154
482	5738	6142
483	5749	6130
484	5760	6117
485	5772	6104
486	5783	6092
487	5794	6079
488	5806	6067
489	5818	6055
490	5829	6043
491	5842	6032
492	5854	6021
493	5866	6009
494	5878	5997
495	5889	5984
496	5902	5973
497	5914	5961
498	5925	5949
499	5936	5936
500	5947	5924
501	5960	5913
502	5972	5900
503	5983	5888
504	5995	5876
505	6006	5863
506	6017	5851
507	6029	5839
508	6041	5827
509	6053	5815
510	6064	5803
511	6076	5791
512	6087	5779
513	6098	5766
514	6109	5753
515	6121	5742
516	6132	5729
517	6144	5717
518	6155	5704
519	6167	5692
520	6178	5680
521	6190	5668
522	6201	5656
523	6213	5644
524	6224	5631
525	6236	5619
526	6247	5607
527	6259	5595
528	6270	5583
529	6281	5570
530	6292	5558
531	6303	5545
532	6314	5532
533	6325	5520
534	6336	5507
535	6350	5497
536	6361	5484
537	6372	5472
538	6383	5459
539	6394	5447
540	6405	5434
541	6417	5422
542	6428	5410
543	6439	5398
544	6451	5385
545	6462	5373
546	6473	5360
547	6484	5348
548	6495	5335
549	6507	5324
550	6520	5313
551	6532	5301
552	6545	5290
553	6556	5278
554	6569	5267
555	6581	5256
556	6594	5244
557	6606	5233
558	6618	5221
559	6630	5209
560	6641	5197
561	6653	5185
562	6664	5173
563	6676	5160
564	6687	5149
565	6699	5136
566	6712	5125
567	6723	5113
568	6735	5102
569	6747	5090
570	6759	5078
571	6770	5066
572	6782	5054
573	6795	5043
574	6807	5031
575	6819	5019
576	6830	5007
577	6841	4995
578	6852	4982
579	6863	4969
580	6873	4957
581	6885	4945
582	6898	4934
583	6910	4922
584	6921	4909
585	6932	4897
586	6943	4885
587	6954	4873
588	6966	4861
589	6977	4849
590	6990	4838
591	7002	4825
592	7013	4813
593	7024	4801
594	7036	4789
595	7048	4777
596	7060	4766
597	7072	4754
598	7083	4742
599	7095	4730
600	7107	4718
601	7119	4706
602	7131	4695
603	7142	4682
604	7154	4670
605	7164	4658
606	7176	4646
607	7187	4634
608	7199	4622
609	7210	4609
610	7221	4597
611	7232	4585
612	7243	4573
613	7255	4561
614	7266	4548
615	7277	4536
616	7288	4524
617	7299	4512
618	7311	4500
619	7322	4488
620	7333	4475
621	7344	4463
622	7355	4450
623	7366	4438
624	7377	4426
625	7388	4414
626	7399	4401
627	7410	4389
628	7421	4377
629	7432	4364
630	7443	4353
631	7454	4340
632	7465	4328
633	7476	4316
634	7489	4305
635	7502	4293
636	7514	4282
637	7527	4270
638	7539	4259
639	7551	4247
640	7563	4236
641	7575	4224
642	7588	4213
643	7600	4201
644	7612	4189
645	7624	4177
646	7635	4165
647	7648	4154
648	7659	4142
649	7670	4130
650	7682	4118
651	7693	4106
652	7705	4094
653	7718	4083
654	7730	4071
655	7741	4059
656	7752	4047
657	7764	4035
658	7775	4023
659	7787	4011
660	7799	3999
661	7811	3988
662	7822	3976
663	7834	3964
664	7845	3952
665	7856	3940
666	7868	3928
667	7880	3916
668	7892	3904
669	7904	3893
670	7916	3881
671	7927	3869
672	7941	3858
673	7952	3846
674	7963	3834
675	7974	3822
676	7985	3809
677	7996	3797
678	8007	3785
679	8019	3773
680	8030	3761
681	8042	3749
682	8053	3737
683	8065	3726
684	8076	3714
685	8087	3701
686	8099	3690
687	8111	3678
688	8122	3666
689	8133	3654
690	8144	3642
691	8156	3630
692	8167	3618
693	8179	3606
694	8190	3594
695	8201	3582
696	8214	3571
697	8226	3559
698	8237	3547
699	8250	3535
700	8262	3524
701	8273	3512
702	8285	3500
703	8296	3488
704	8307	3476
705	8318	3464
706	8330	3452
707	8341	3440
708	8353	3428
709	8364	3416
710	8375	3404
711	8387	3392
712	8398	3380
713	8410	3368
714	8421	3356
715	8433	3344
716	8444	3333
717	8456	3321
718	8466	3309
719	8479	3297
720	8491	3285
721	8503	3274
722	8515	3262
723	8528	3251
724	8541	3239
725	8553	3228
726	8565	3216
727	8578	3205
728	8590	3193
729	8602	3181
730	8614	3169
731	8626	3158
732	8637	3146
733	8649	3134
734	8661	3122
735	8673	3111
736	8684	3099
737	8696	3087
738	8708	3075
739	8720	3064
740	8732	3052
741	8744	3040
742	8757	3029
743	8769	3017
744	8781	3005
745	8794	2994
746	8804	2982
747	8816	2970
748	8827	2958
749	8838	2946
750	8849	2934
751	8861	2922
752	8873	2910
753	8884	2898
754	8895	2886
755	8906	2874
756	8917	2862
757	8929	2850
758	8941	2839
759	8954	2827
760	8965	2815
761	8978	2804
762	8991	2792
763	9002	2781
764	9014	2769
765	9025	2757
766	9037	2745
767	9050	2733
768	9062	2722
769	9074	2710
770	9086	2698
771	9097	2686
772	9109	2675
773	9120	2662
774	9130	2650
775	9141	2638
776	9152	2626
777	9163	2614
778	9175	2602
779	9186	2591
780	9199	2579
781	9211	2567
782	9221	2555
783	9232	2543
784	9244	2531
785	9255	2519
786	9266	2507
787	9277	2496
788	9288	2484
789	9299	2472
790	9311	2460
791	9322	2448
792	9333	2436
793	9344	2424
794	9355	2412
795	9366	2400
796	9377	2388
797	9388	2376
798	9399	2364
799	9410	2352
800	9420	2340
801	9432	2328
802	9442	2316
803	9453	2304
804	9465	2292
805	9478	2281
806	9490	2269
807	9502	2258
808	9514	2246
809	9526	2234
810	9539	2223
811	9551	2211
812	9564	2200
813	9575	2188
814	9588	2176
815	9599	2164
816	9611	2152
817	9622	2140
818	9634	2129
819	9645	2117
820	9657	2105
821	9668	2093
822	9679	2081
823	9691	2069
824	9702	2058
825	9714	2046
826	9726	2034
827	9737	2022
828	9749	2011
829	9761	1999
830	9772	1987
831	9785	1975
832	9796	1964
833	9807	1952
834	9818	1940
835	9829	1928
836	9840	1916
837	9852	1904
838	9863	1892
839	9876	1881
840	9888	1869
841	9899	1857
842	9911	1845
843	9922	1834
844	9935	1822
845	9946	1810
846	9957	1798
847	9968	1786
848	9979	1774
849	9991	1763
850	10003	1751
851	10015	1739
852	10028	1728
853	10039	1716
854	10051	1704
855	10063	1692
856	10075	1681
857	10086	1669
858	10098	1657
859	10109	1645
860	10120	1633
861	10131	1622
862	10142	1610
863	10154	1598
864	10166	1586
865	10177	1574
866	10189	1563
867	10200	1551
868	10212	1539
869	10223	1527
870	10235	1515
871	10246	1504
872	10258	1492
873	10269	1480
874	10280	1468
875	10292	1456
876	10303	1445
877	10314	1433
878	10326	1421
879	10336	1409
880	10348	1397
881	10359	1385
882	10371	1374
883	10382	1362
884	10394	1350
885	10405	1338
886	10416	1326
887	10427	1315
888	10438	1303
889	10449	1291
890	10462	1279
891	10474	1268
892	10487	1256
893	10499	1244
894	10512	1233
895	10524	1221
896	10538	1210
897	10550	1198
898	10564	1186
899	10575	1175
900	10587	1163
901	10600	1151
902	10612	1140
903	10624	1128
904	10637	1116
905	10650	1104
906	10663	1093
907	10674	1081
908	10687	1069
909	10699	1058
910	10711	1046
911	10724	1034
912	10736	1023
913	10747	1011
914	10759	999
915	10770	987
916	10782	975
917	10793	964
918	10805	952
919	10817	940
920	10829	928
921	10842	917
922	10855	905
923	10868	893
924	10880	882
925	10892	870
926	10905	858
927	10917	847
928	10930	835
929	10942	823
930	10954	811
931	10966	800
932	10978	788
933	10991	776
934	11004	765
935	11017	753
936	11029	741
937	11042	729
938	11056	718
939	11069	706
940	11082	694
941	11095	683
942	11106	671
943	11119	659
944	11131	647
945	11144	636
946	11157	624
947	11169	612
948	11181	600
949	11194	589
950	11207	577
951	11219	565
952	11231	553
953	11243	542
954	11260	530
955	11274	518
956	11289	507
957	11301	495
958	11314	483
959	11327	471
960	11340	460
961	11352	448
962	11365	436
963	11378	424
964	11389	413
965	11403	401
966	11416	389
967	11429	377
968	11442	366
969	11455	354
970	11469	342
971	11483	330
972	11496	319
973	11510	307
974	11524	295
975	11539	283
976	11552	271
